位置,段号,商品名,货号
F10,10,复方磺胺甲恶唑片(新华),10011283
F10,11,甲硝唑片(齐都),01000108
F10,12,土霉素片(上海),01001908
F10,13,土霉素片(云鹏),01000182
F10,14,吡拉西坦片(强身),01003916
F11,1,匹多莫德口服溶液(芙露饮),01009653
F11,2,转移因子口服液(百利金),00011027
F11,3,盐酸伐昔洛韦片,01002927
F11,4,头孢克洛缓释片(Ⅱ)(希刻劳),01004863
F11,5,盐酸左氧氟沙星片,01004463
F11,6,盐酸多西环素片(林诺清),01001013
F11,7,普瑞巴林胶囊(喜思平),01004933
G1,1,转移因子口服溶液(乐赛仙),01005271
G1,2,阿莫西林胶囊(仁和中方),01002025
G1,3,头孢克洛分散片(安泰哲),01005558
G1,4,头孢呋辛酯胶囊(乐赛仙),6922242720017
G1,5,头孢克肟胶囊(欧健),6916119040834
G1,6,达洛克,14023680
G2,1,罗红霉素胶囊(普举),01004826
G2,2,头孢氨苄胶囊(达洁克),01001351
G2,3,阿昔洛韦片(善举),01004831
G2,4,头孢克肟片,01000627
G2,5,阿奇霉素分散片(达洛克),01001305
G2,6,青霉素V钾分散片,02000672
G2,7,金力舒(阿莫西林克拉维酸钾),02000672
G2,8,乙酰螺旋霉素片(达洛克),01000428
G2,9,克拉霉素胶囊(美舒通)(特格尔),01002889
G3,1,克拉霉素分散片(安泰邦),01004262
G3,2,阿莫西林克拉维酸钾分散片(阿莫西林),01000975
G3,3,盐酸左氧氟沙星胶囊(达洛克),01001303
G3,4,头孢克肟片(方盛),01004164
G3,5,诺氟沙星胶囊,05554619
G3,6,青霉素V钾分散片(乐赛仙),01009719
G3,7,阿莫西林(白云山),01000582
G3,8,阿莫西林克拉维酸钾片(金力舒),01000730
G3,9,盐酸左氧氟沙星胶囊(联邦左福康),01001954
G3,10,盐酸伐昔洛韦片(明竹欣),01002717
G4,1,阿莫西林克拉维酸钾颗粒(乐赛仙),01004198
G4,2,诺氟沙星胶囊(乐赛仙),01004533
G4,3,头孢丙烯胶囊,01004271
G4,4,头孢克肟胶囊,01004272
G4,5,诺氟沙星胶囊(和中方),B201009817
G4,6,罗红霉素软胶囊(维康速克)(ZM),A202002568
G4,7,阿莫西林胶囊(联零),01004920
G4,8,罗红霉素分散片(乐赛仙),01004201
G4,9,青霉素V钾片(乐赛仙),01004426
G5,1,头孢丙烯胶囊(亿代)(齐鲁),01002048
G5,2,头孢克肟胶囊(世福素)(白云山)zc,01003724
G5,3,阿莫西林克拉维酸钾分散片,20000720
G5,4,诺氟沙星胶囊(达洛克),01004977
G5,5,阿奇霉素胶囊,02570000
G5,6,阿莫西林克拉维酸钾混悬剂(联邦),01003062
G5,7,阿莫西林胶囊(联邦阿莫仙),01005408
G5,8,头孢克肟分散片(笃定)(金鸿),01002566
G5,9,阿莫西林胶囊(白云山c)(抗之),01001091
G5,10,盐酸左氧氟沙星胶囊,
G6,1,阿莫西林胶囊(邦),6922761351891
G6,2,阿莫西林胶囊(联邦),01000422
G6,3,头孢克肟分散片(兴易比可),01000450
G6,4,盐酸左氧氟沙星胶囊(普祥),01005196
G6,5,头孢地尼分散片,01005284
G6,6,盐酸左氧氟沙星胶囊,01005196
G6,7,阿奇霉素胶囊(齐鲁),01002046
G6,8,左氧氟沙星胶囊,01003012
G6,9,罗红霉素胶囊,01003017
G6,10,盐酸左氧氟沙星胶囊(安奉邦),01009791
G6,11,人工商黄甲硝唑胶囊,00000355
G6,12,阿莫西林胶囊(石药),01005626
G6,13,盐酸左氧氟沙星片,020083528
G7,1,阿莫西林胶囊(联邦),6943297600123
G7,2,头孢地尼分散片(兴易比可),6928587000821
G7,3,盐酸左氧氟沙星胶囊(仁和中方),01001268
G7,4,罗红霉素胶囊(联邦药业)(赛乐邦药业),01001950
G7,5,头孢地尼分散片(希福尼),01000162
G7,6,人工牛黄甲硝唑胶囊(石药),01004589
G7,7,盐酸左氧氟沙星片(佐仰),01003845
G7,8,罗红霉素分散片,
G8,1,盐酸特比萘芬片,01005189
G8,2,罗红霉素胶囊(联邦),01004899
G8,3,奇霉素胶囊(福太医),01005309
G8,4,头孢克肟胶囊(坦络维),6919041188780
G8,5,头孢克肟胶囊(达力芬)(致君),01009637
G8,6,阿奇霉素分散片(美大康),10010763
G8,7,阿莫西林胶囊(石药),00005626
G8,8,罗红霉素分散片(小严迪),10010028
G9,1,头孢泊肟酯胶囊(亮博)(雅泰),04000204
G9,2,盐酸环丙沙星胶囊(鲁抗)(宁新),01001936
G9,3,盐酸左氧氟沙星胶囊(左克),10010768
G9,4,盐酸米诺环素胶囊(玫满),10010045
G9,5,诺氟沙星胶囊,00100519
G9,6,琥乙红霉素片(西安利君),10010032
G9,7,克拉霉素片(京新),10020441
G10,1,盐酸多西环素胶囊(林梅吉),01005168
G10,2,抗生素,01000034
G10,3,达力新,01001509
G10,4,头孢克肟胶囊(达力芬),01000690
G10,5,头孢克肟分散片(先强严灵),10020461
G10,6,头孢氨苄片,01003533
G10,7,奥硝唑片(敬宁),10020406
G10,8,左氧氟沙星片(可乐必妥),01002985
G10,9,盐酸环丙沙星片(京新),10010836
G11,1,头孢丙烯颗粒(凯可之),01004341
G11,2,诺氟沙星胶囊(欧意),01005399
G11,3,头孢克洛胶囊(苏科乐),01004702
G11,4,红霉素肠溶胶囊(美红),01009935
G11,5,盐酸左氧氟沙星胶囊(石药),01003209
G11,6,头孢克肟片(葵花),05000140
H1,1,赖氨酸维B12颗粒,01001192
H1,2,头孢克肟颗粒(小快克),01005404
H1,3,阿奇霉素干混悬剂(培彤),01005601
H1,4,小儿定喘口服液(荣昌制药),02006852
H1,5,头孢克肟颗粒(状),01004888
H1,6,头孢氨苄颗粒(葵花),01000639
H1,7,阿莫西林颗粒,00000577
H1,8,头孢克肟颗粒(致君),01002304
H1,9,阿奇霉素干混悬剂(维宏),6916119030538
H1,10,利巴韦林颗粒,
H2,1,头孢克肟颗粒(普宁),B20100329
H2,2,阿莫西林克拉维酸钾颗粒(言净欣),B20200805
H2,3,头孢克洛干混悬剂(夏克诺)(白云),01002062
H2,4,依托红霉素颗粒(小洋人),01005234
H2,5,利巴韦林颗粒(新博林),10014333
H2,6,核苷类抗病毒药,00000000
H3,1,头孢克肟颗粒(培彤),01004812
H3,2,阿莫西林克拉维酸钾(4:1)干混悬剂,
H3,3,罗红霉素颗粒(状元娃),01005495
H3,4,头孢克肟分散片Z(笃定)(金鸿),01001038
H3,5,猴耳环消炎颗粒,
H3,6,头孢地尼颗粒(帝莉莎),01003663
H3,7,阿莫西林克拉维酸钾颗粒(蒲贝先),01000581
H4,1,阿莫西林克拉维酸钾（4:1）干混悬剂,01009801
H4,2,阿莫西林颗粒（青净欣）（葵花）,01010024
H4,3,猴耳环消炎颗粒(白马),02007523
H4,4,阿莫西林颗粒(阿卡)(仁和中),01001177
H4,5,酸钾(4:1)干混悬剂,110970406
H4,6,头孢克洛干混悬剂(状元娃),01009981
H4,7,盐酸二氧丙嗪颗粒,
H5,1,肺宁颗粒(儿童)(修正),02005852
H5,2,阿莫西林克拉维酸钾干混悬剂(4:1),01009686
H5,3,王氏保赤丸,00000000
H5,4,依托红霉素颗粒,00000000
H5,5,盐酸二氧内嗪颗粒(芽培)(乐赛),01003402
H5,6,头孢克洛干混悬剂,
H6,1,阿奇霉素干混悬剂(希舒美),01000763
H6,2,头孢克洛干混悬剂,02000757
H6,3,硝酸奥司他韦颗粒,8914156200012
H6,4,王氏保赤丸(南通),01000334
H6,5,依托红霉素颗粒(葵花),00030110
H6,6,头孢克洛干混悬剂(致君),01004838
H6,7,头孢克肟颗粒(无糖型)(达力芬),01000738
H7,1,磷酸奥司他韦颗粒(施可韦),01004976
H7,2,头孢克肟咀嚼片(海山牌),10011218
H7,3,磷酸奥司他韦颗粒(可威)ds,01002560
H7,4,百蕊颗粒,01002560
H7,5,小儿麻甘颗粒(云中),02000342
H7,6,小柴胡汤丸(仲景),02005614
H8,1,儿童回春颗粒(澳方),02005260
H8,2,小儿咳嗽糖浆(宝尼),01004619
H8,3,小儿智力糖浆(葵花),02003212
H8,4,百蕊颗粒(柏美星),02004293
H8,5,喉剑喷雾剂儿童型,00000000
H8,6,右旋布洛芬口服混悬液,00000000
H8,7,小儿豉翘清热颗粒(无糖型),02004889
H8,8,氨溴特罗口服溶液,095276400344
H9,1,氨溴特罗口服溶液(状元娃),01004850
H9,2,开喉剑喷雾剂(三力),02003324
H9,3,开喉剑喷雾剂(儿童型)(三力),02007066
H9,4,右旋布洛芬口服混悬液（右布）,01009855
H9,5,芙那敏铵糖浆,
H9,6,氨溴特罗口服溶液(易坦静),10020496
H10,1,小儿消积止咳口服液(鲁南/宁宝)ds,03006251
H10,2,肺力咳合剂(健兴),10095131
H10,3,开喉剑,02002155
H10,4,雾剂（儿（三力）,01000226
H10,5,美芬那敏铵糖浆（尔可芬）（樂信）,01003790
H10,6,氨溴特罗口服溶液(易坦静),01002673
H10,7,小儿鼻炎片(同仁堂),02001172
I1,1,卵磷脂片(妙存),01004090
I2,1,同仁牛黄清心丸,30020036
I3,1,通脉颗粒(乐赛仙),02004143
I3,2,辛伐他汀片(安泰邦),01009607
I3,3,通心络胶囊(以岭),10030181
I4,1,降脂宁颗粒(中大),02004270
I4,2,脑络通胶囊（寿护士）KC,02005239
I4,3,脑心清片(白云山),3202001379
I5,1,通脉颗粒(神威),30040059
I5,2,头孢克肟颗粒,01000645
I5,3,通心络胶囊(以岭),02007034
I6,1,柏子养心丸(九芝堂),02004722
I6,2,通心络胶囊(以岭),10030181
I6,3,复方血栓通胶囊(众生),02000617
I7,1,心宝丸(星辰牌),02005980
I7,2,辛伐他汀片(怡康寿),01000810
I8,1,复方丹参滴丸(天士力),02002603
I8,2,速效救心丸(松柏)(中新),02002047
I9,1,速效救心丸(松柏)(中新),30040072
I9,2,复方丹参滴丸(天士力),02000716
J1,1,氧氟沙星滴眼液,01004736
J1,2,左氧氟沙星滴眼液(佐安欣),01003788
J1,3,复方尿维氨滴眼液(珍视清)(ZM),01002699
J1,4,盐酸左氧氟沙星滴眼液(乐赛仙),01005343
J1,5,氧氟沙星滴耳液(乐赛/傅真),01005349
J1,6,氯霉素滴眼液(润舒),50010005
J1,7,左侧价签对应药品：,
J1,8,（价签上显示“艾视”——推测为“艾视”品牌，但无明确商品全名；结合包装图中“Levofloxacin Eye Drops”及常见药品，应为“左氧氟沙星滴眼液”，但价签未标注完整名）,
J1,9,根据价签文字：,
J1,10,右侧清晰药品：,
J1,11,再看价签细节：,
J1,12,左侧价签：,
J1,13,确认价签内容：,
J1,14,注意：价签上“货号”栏是“01005646”和“B2 50010005 F1”，取纯数字8位 → “01005646”和“50010005”,
J1,15,所以最终输出（从左到右）：,
J1,16,左氧氟沙星滴眼液(艾视),01005646
J2,1,妥布霉素地塞米松眼膏(典必殊),B2-50010077
J2,2,盐酸左氧氟沙星滴耳液(滴佑),A2-01004822
J2,3,熊胆黄芩滴眼液(贵珍林),02007555
J2,4,氧氟沙星滴眼液(仁和中方),01001168
J2,5,盐酸左氧氟沙星,01001966
J2,6,盐酸左氧氟沙星滴眼液(联邦左福),01001966
J2,7,阿昔洛韦滴眼液(普乐),01005682
J2,8,七叶洋地黄双苷滴眼液,01000635
J2,9,氧氟沙星滴眼液(兰尼),6970354421018
J2,10,氧氟沙星滴眼液(乐赛仙),6934132400985
J2,11,氧氟沙星滴眼液YYK,6933426401523
J3,1,妥布霉素地塞米松滴眼液(典必殊),50014301
J3,2,普拉洛芬滴眼液(普南扑灵),50010102
J3,3,妥布霉素滴眼液(托百士),50010028
J3,4,左氧氟沙星滴眼液(可乐必妥),02002602
J3,5,七叶洋地黄双苷滴眼液(施图伦),50010047
J3,6,复方熊胆滴眼液,02002601
J3,7,盐酸左氧氟沙星滴眼液(佐科),50014171
J3,8,诺氟沙星滴眼液(辰欣),05001001
J3,9,氧氟沙星滴眼液,50040114
J4,1,左氧氟沙星滴眼液(闪亮)(仁和中),01004555
J4,2,复方氯化钠滴眼液(闪亮)(仁和中),01004556
J4,3,阿昔洛韦滴眼液,01004557
J4,4,盐酸奥洛他定滴眼液(闪亮)(仁和),01004557
J4,5,普华),02002502
J4,6,复方尿维氨滴眼液,
J4,7,氧氟沙星滴眼液(美尔杰)(特格),01002886
J4,8,氧氟沙星滴眼液(远清),01005097
J4,9,盐酸洛美沙星滴眼液(远清),01003988
J4,10,盐酸洛美沙星滴耳液,01002709
J5,1,玻璃酸钠滴眼液(闪亮)(仁和中),01005307
J5,2,阿昔洛韦滴眼液(艾视)(中大),01005645
J5,3,妥布霉素滴眼液(安泰邦),00005557
J5,4,左氧氟沙星滴眼液(迪可罗),01005698
J5,5,复方尿维氨滴眼液(滴佑),01009729
J5,6,氧氟沙星滴眼液(迪可罗),01005693
J5,7,左氧氟沙星滴眼液(莎普爱思),00009523
J5,8,盐酸洛美沙星滴耳液(滴佑),01009721
J5,9,外用应急软膏,02006972
J6,1,冰硼散(万通),02007064
J6,2,复方雪莲烧伤膏(乐赛仙),02007185
J6,3,锡类散(707),10090109
J6,4,青鹏软膏(奇正),02003325
J6,5,冰硼散(善举),02005843
J6,6,松当甘霜软膏(美原),08006009
J6,7,沙星滴眼液,00000000
J6,8,妥布霉素滴眼液,00000000
J7,1,喷昔洛韦乳膏(乐赛仙),00004544
J7,2,喷昔洛韦乳膏(华邦),00010406
J7,3,锡类散(南通),50050206
J7,4,酮康唑乳膏,01005563
J7,5,复方酮康唑乳膏(普利恩),01005563
J7,6,卤米松乳膏(乐赛仙),01005143
J7,7,诺氟沙星滴眼液(快捷克),A2 01009580
J7,8,妥布霉素滴眼液,A2 01009580
J8,1,洛索洛芬钠凝胶贴膏(久悦),01004846
J8,2,洛索洛芬钠贴剂(乐松),01003179
J8,3,麝香止痛贴膏(乐赛仙),02007268
J8,4,伤湿祛痛膏(杏林泰),02005530
J9,1,吲哚美辛凝胶贴膏(安泰邦),01009788
J9,2,氟比洛芬凝胶贴膏(得百安),01009934
J9,3,氟比洛芬凝胶贴膏(孚乐可),01009880
K1,1,滴眼液,010009860
K1,2,复方黄连素片,6901004860
K1,3,盐酸奥洛他定滴眼液(滴佑),01009723
K1,4,感冒欣喷雾剂(赛灵),02007204
K2,1,盐酸左氧氟沙星滴耳液(左佛),01009510
K2,2,复方黄柏液涂剂(滇克)(舜圣堂),02006234
K2,3,苯扎氯铵溶液(优可适),00003253
K2,4,聚维酮碘含漱液(怡速欣),01009809
K2,5,头孢氨苄颗粒(葵花),01000639
K2,6,夫西地酸乳膏,0030107401263
K2,7,氟芬那酸丁酯软膏(布特),01009638
K2,8,地奈德乳膏(福卓),01005601
K2,9,人表皮生长因子(LR截短型)凝胶,02010071
K3,1,妥布霉素地塞米松滴眼液(卓亮),01004441
K3,2,维A酸乳膏(楚舒),01003796
K3,3,他克莫司软膏(普特彼),01003670
K3,4,地奈德乳膏(力言卓),6920327601015
K3,5,夫西地酸乳膏(奥络),01002772
K3,6,人表皮生长因子,
K3,7,表皮生长因子(LR截短型),01005564
K4,1,人表皮生长因子滴眼液(易贝),01003988
K4,2,他克莫司软膏(普特彼),01001679
K4,3,复方氨酚烷胺片(王上王),01000254
K4,4,丙沙星乳膏(外),01000321
K4,5,地奈德乳膏(力言),01004599
K4,6,沙星乳膏外,010002720
K4,7,（空）,
K4,8,复方薄荷脑软膏(信龙),01010054
K4,9,咪喹莫特乳膏(丽科杰),01004712
K4,10,小儿暖脐膏(幼乐佳),A302007164
K5,1,复方酮康唑乳膏(王上王),01003043
K5,2,烧伤止痛药膏(普泽),02006482
K5,3,盐酸环丙沙星乳膏(恒健),50020297
K5,4,云南白药气雾剂,02000602
K5,5,夫西地酸乳膏,020190309982
K5,6,复方酮康唑乳膏乐赛仙),01009718
K5,7,氧氟沙星凝胶(万川医药),01009708
K5,8,氧氟沙星凝胶(惠成),00005098
K5,9,氧氟沙星凝胶(达林),01005417
K5,10,夫西地酸乳膏(华邦),01009938
K5,11,多磺酸粘多糖乳膏(喜辽妥),10012246
K5,12,咪康唑氯倍他索乳膏(顺峰),01003686
K5,13,醋酸曲安奈德尿素软膏(福元),01002592
K6,1,云南白药痔疮膏,02000894
K6,2,夫西地酸乳膏(福元),01009732
K6,3,醋酸氟轻松乳膏(安泰邦),01009664
K6,4,丙酸氟替卡松乳膏(替美),01004099
K6,5,润燥烧伤膏(美宝),50020100
K6,6,积雪苷霜软膏(康恩贝ynf),02004392
K6,7,三黄珍珠膏(羚锐),"(ZM),02002768"
K6,8,青鹏软膏(通天河),02006970
K7,1,头孢氨苄颗粒(葵花),01000639
K7,2,阿莫西林颗粒(达洛克),01000577
K7,3,保妇康凝胶(白马),02004689
K7,4,复方甲硝唑阴道栓(纤如意),01004391
K7,5,康妇消炎栓(葵花),02007247
K7,6,康妇凝胶(健兴),02003736
K8,1,复方醋酸氟轻松酊(一丹宁),50040119
K8,2,苯溴红溶液(恒健),01000078
K8,3,药艾条(爱一心),02004447
K8,4,复方酮康唑发用洗剂(乐赛仙),01004548
K8,5,复方硫磺乳膏(川石),10010241
K8,6,哈西奈德溶液(辰欣),50020106
K8,7,拔毒膏(明太医),02006226
K8,8,复方酮康唑软膏(新亚康王),79999986
K8,9,曲安奈德新霉素贴膏(恒健),30030109
K9,1,复方酮康唑发用洗剂(康王),01002611
K9,2,外用药品,01002611
K9,3,复方酮康唑发用洗剂（康王）,50040007
K9,4,复方酮康唑发用洗剂(采能),01003622
K9,5,哈西奈德溶液(玉虎牌),01009699
K9,6,复方酮康唑软膏(皮康王),90010045
